model_name,mape,mse,rmse,mae,mpd,mpd_index
128_minmax_split_first_sequence21,0.7944809160291759,3355.166483520533,57.92379893895542,43.07951164245611,4.313359827679193,154
128_minmax_split_last_sequence21,0.91387538690807,4157.56250410993,64.4791633328933,49.52470207214357,4.406820288074897,154
128_log_minmax_split_first_sequence21,0.7426678747615706,2877.0738963819813,53.63836217094983,40.07762145996075,4.765711468722012,155
128_log_minmax_split_last_sequence21,0.8469994977318818,3883.9063330162094,62.32099431986151,45.86763763427715,4.9827502511842034,155
128_custom_split_first_sequence21,1.3614377960308577,7691.443051601007,87.70087258175376,73.74036903281018,5.158949021785817,155
128_custom_split_last_sequence21,0.7576042207248669,3116.1854557471643,55.82280408352096,40.60969902081922,4.8006885275046205,155
128_128_custom_log_split_first_sequence21,78.24572683712192,23698020.96226637,4868.0613145549405,4463.998933761778,138.4739666548585,251
128_custom_log_split_last_sequence21,0.858705258919855,3272.021232522835,57.20158417843718,46.51257978050965,4.427207386471714,155
128_minmax_split_first_sequence7,1.4366014295477554,11153.422309523165,105.60976427169584,79.24957863136578,6.415650592762267,168
128_minmax_split_last_sequence7,1.112596391080828,6550.443635053983,80.9348110213027,60.68653067129627,5.788523089244761,168
128_log_minmax_split_first_sequence7,45.45041374382448,6355138.873778568,2520.9400773875145,2472.277665867098,57.29976033862123,260
128_log_minmax_split_first_sequence14,0.8576055884992084,3395.791054617748,58.27341636301881,45.99751403576518,4.632718372766565,161
128_log_minmax_split_first_sequence28,0.8647578028179146,3939.079387226229,62.76208558697065,46.89229966741925,4.818886111646857,147
128_custom_split_first_sequence28,0.6676078446708944,2311.3592173097813,48.07659739738017,36.075162756350366,3.986758486933836,148
128_minmax_split_first_fear_greed_sequence21,1.0629284225388804,6143.039643807342,78.37754553319044,57.308601379394574,5.755778505658959,155
128_minmax_split_first-2023_sequence21,0.8694653394844654,2053.329575284476,45.31367978088378,37.31514327144208,2.94726350081093,193
128_128_128_minmax_split_first_fear_greed_sequence21,0.9182092899688024,2294.732658750886,47.90336792701413,39.40209108044486,3.004867715330491,200
128_custom_log_split_first_sequence21,0.858705258919855,3272.021232522835,57.20158417843718,46.51257978050965,4.427207386471714,155
20_minmax_split_first_sequence21,3.092460326321371,64190.20429043472,253.35785815805028,176.05346679687503,14.137321885405086,253
20_20_minmax_split_first_sequence21,1.2084016497663264,6842.932827518323,82.72202141823134,65.8678035736084,4.432984827982627,221
50_minmax_split_first_sequence21,1.0647281603819434,5509.526818627493,74.22618687921059,57.97285461425783,4.232648007876065,162
61_30_minmax_split_first_sequence21,3.547066925282462,71472.98240342735,267.3443143278483,200.83652114868164,13.997960549815048,253
30_30_minmax_split_first_sequence21,5.768499987692419,189609.40478625987,435.4416204111176,327.3843936920166,21.22521953895396,254
128_128_minmax_split_first_sequence21,1.0613833108256074,5439.136769559236,73.75050352071663,57.69065856933595,4.557042420247141,154
128_minmax_split_first_using_abs_sequence21,0.7368763135985626,2534.555176475941,50.34436588612415,37.50392855726531,4.671591974154135,292
128_minmax_split_first_using_abs_dense_sequence21,0.685448909626159,2248.4968024528653,47.41831716175581,34.647018510073,4.740649340629656,292
128_minmax_split_first_using_abs_dense_lion_optim_sequence21,2.8968290326614548,40179.99860853959,200.4494914150185,156.52391090973993,11.362596458846811,292
128_minmax_split_first_using_abs_dense_AdamW_sequence21,0.6694859815989443,2137.631866740097,46.23453110760503,33.95516611476843,4.307004855304164,292
128_minmax_split_first_using_abs_dense_Nadam_sequence21,0.7704982325422302,2888.9382199678407,53.74884389424428,39.56879932384207,4.9570290889196205,292
128_minmax_split_first_using_abs_dense_SGD_sequence21,5.375736196998575,128915.2679151732,359.04772372927414,291.4446866572809,12.097558520267484,360
128_minmax_split_first_using_abs_dense_RMSprop_sequence21,0.853331558910459,3186.8177832238057,56.45190681654434,42.929382634041936,4.966039027531355,292
128_minmax_split_first_using_abs_dense_Lamb_sequence21,0.6608405419170988,2085.5481734439268,45.66780237151692,33.40262754798543,4.538288190660351,292
128_minmax_split_first_using_abs_dense_Lamb_sequence9,0.749555168298113,2272.177702029941,47.66736516769037,37.79152555418721,3.977949093111127,304
128_minmax_split_first_using_abs_dense_Lamb_sequence14,0.6271723581579457,1725.9717772203237,41.54481649039172,31.601299485660856,3.4370797479642694,299
128_minmax_split_first_using_abs_dense_Lamb_sequence17,0.662100073950537,1825.283235151568,42.72333361468377,33.393371888740575,3.772302187054576,296
128_minmax_split_first_using_abs_dense_Lamb_sequence30,0.6502887935918323,1992.65816254926,44.63919984217078,32.995365767045485,4.204666263131169,283
128_minmax_split_first_using_abs_dense_Lamb_sequence25,0.6287406969619032,1837.7207109017309,42.86864484564133,31.68976236979169,4.20557008142451,288
128_minmax_split_first_using_abs_dense_Lamb_mae_sequence21,0.6087536094712462,1692.9792676377465,41.14582928606187,30.60973067695114,3.8497669466129376,292
64_minmax_split_first_using_abs_dense_Lamb_mae_sequence21,0.6194344109928132,1794.79485298656,42.36501921381082,31.164089764435307,4.1172500875721765,292
50_minmax_split_first_using_abs_dense_Lamb_mae_sequence21,0.7372647121950783,2639.142609115187,51.372586163392505,37.75863167235093,4.75310508648475,292
30_minmax_split_first_using_abs_dense_Lamb_mae_sequence21,0.6884352726080784,2141.8573006409724,46.28020419834999,34.8003103188452,4.263696895414948,292
10_minmax_split_first_using_abs_dense_Lamb_mae_sequence21,1.5755145159689166,16278.477438451691,127.5871366496313,84.61813060160222,9.688680729236404,391
10_10_minmax_split_first_using_abs_dense_Lamb_mae_sequence21,1.1706710767527904,7086.908260472537,84.18377670592201,61.73544574873095,5.752769118138381,358
20_20_minmax_split_first_using_abs_dense_Lamb_mae_sequence21,0.893774338130574,3857.748928087617,62.11077948381921,46.50690409858817,5.524379137960022,387
30_30_minmax_split_first_using_abs_dense_Lamb_mae_sequence21,0.9379553863671168,3680.935912115328,60.67071708918008,47.29825309327417,5.134940071099296,292
25_25_minmax_split_first_using_abs_dense_Lamb_mae_sequence21,1.3517503809375775,8177.026347601475,90.42691163365846,70.60388369487623,5.716841349741848,359
100_100_minmax_split_first_using_abs_dense_Lamb_mae_sequence21,0.7140593687871429,2073.793820634108,45.53892643260387,36.44465071779823,3.3125505337349974,292
128_128_minmax_split_first_using_abs_dense_Lamb_mae_sequence21,0.6556725083623373,1815.0757083675,42.60370533612657,33.098920328362944,3.183803500803472,292
150_150_minmax_split_first_AdamW_mae_sequence21,0.6422018539872222,1813.601870716531,42.58640476392121,32.867052417116184,2.8109219661573257,292
150_minmax_split_first_AdamW_mse_sequence21,0.8286394304273349,3243.9862247639007,56.95600253497344,42.61615888721458,5.207782176678178,292
128_minmax_split_first_AdamW_mse_sequence21,1.1486843893374314,6771.624542567946,82.28988116754056,60.770691227791936,6.238408059528728,292
128_minmax_split_first_AdamW_mae_sequence21,0.7402790530566266,2546.4635203895323,50.46249617676015,37.256056422509566,4.949968008502901,292
121_minmax_split_first_AdamW_mae_sequence21,0.6468736973794097,1848.80123939914,42.99768876810868,32.4978795705108,4.134921618161754,292
121_minmax_split_first_Adam_mae_sequence21,0.7307105656724249,2456.941103028775,49.56754082087163,36.528074932582506,5.384177380261731,292
121_minmax_split_last_AdamW_mae_sequence21,0.7345630077389216,2436.6173881528352,49.36210477839084,36.92418256265864,4.862043435153886,292
121_log_minmax_split_first_AdamW_mae_sequence21,0.7778977401720344,2467.0525212451253,49.66943246348931,39.593143985961305,4.199045643119406,292
121_log_minmax_split_last_AdamW_mae_sequence21,0.7609304039091386,2743.9001536054566,52.38225036790092,38.639341092956826,5.109887357780718,292
121_custom_split_first_AdamW_mae_sequence21,0.6160505877741641,1716.1901154811344,41.42692500634261,30.99057574868172,3.764538494516888,293
121_custom_split_last_AdamW_mae_sequence21,0.6630658431098255,1910.2106125421965,43.7059562593269,33.47495257757242,3.7416458839657394,293
121_custom_log_split_first_AdamW_mae_sequence21,0.660540788395126,1943.0239081337932,44.07974487373757,33.24341572473915,4.175913780687127,293
121_custom_log_split_last_AdamW_mae_sequence21,0.6317290562517823,1779.9987933952982,42.19003191981843,31.82607155457709,3.931658329640257,293
